first_name,last_name,title,age,salary
John,Smith,Programmer,59,27005
Leroy,Brooks,"General Manager",60,40104
John,Fanning,Programmer,33,35005
Lisa,Moore,Programmer,32,35005
Ginger,Finger,Fresher,27,31505
Kelly,Brooks,Programmer,32,22005
Shawn,Tait,Fresher,25,25005
Michael,Tolstoy,Fresher,26,25005
Anthony,Hopkins,Programmer,31,19505
Leroy,Miles,"General Manager",59,30005
"Mary Ann",Moore,"Software Engineer",37,32518
Donald,Duck,Programmer,40,19305
Linda,Hamilton,Fresher,40,25005
Sarah,Karan,Fresher,20,25005
Kevin,Peitersen,Programmer,45,32305
Conrad,Whales,"Software Engineer",25,32305
Isabela,Karan,Programmer,43,30265
Lisa,Logan,Programmer,28,20005
Ginger,Gran,Fresher,15,22005
Kelly,Shield,Programmer,30,19005
Shawn,Bichel,Fresher,31,22005
Michael,Stone,Fresher,29,21005
Anthony,Groove,"Software Engineer",52,23005
"Mary Ann",Vista,Programmer,32,37575
Donald,Bang,Fresher,39,31005
Linda,Hamser,Fresher,47,34005
Sarah,Bones,Fresher,56,32005
Kevin,Luther,Programmer,50,33005
Conrad,Marss,Fresher,29,31505
Isabela,Tauton,Programmer,30,32505
John,Vaughan,Programmer,30,27005
Leroy,Garten,Programmer,60,40104
John,Whitaker,Programmer,30,32005
Lisa,Merci,Programmer,32,35005
Ginger,Brown,"Software Engineer",25,25005
Kelly,Alba,Programmer,32,22005
Shawn,Sons,Fresher,25,25005
Michael,Mitchell,Fresher,26,25005
Anthony,Bravo,Programmer,31,19505
Leroy,Kings,"General Manager",59,30005
"Mary Ann",Dolce,Programmer,37,32518
Donald,Bus,Programmer,40,19305
Linda,Scott,Fresher,40,25005
Sarah,Jones,Fresher,20,25005
Kevin,Reese,"Software Engineer",45,32305
Conrad,Turtle,"Software Engineer",45,25005
Isabela,Apple,Programmer,43,30265
Lisa,Hammer,Programmer,28,20005
Ginger,Gold,Fresher,15,22005
Kelly,Rise,Programmer,30,19005
Shawn,Bell,Fresher,31,22005
Michael,Moore,Fresher,29,21005
Anthony,Tamahori,Programmer,89,23005
"Mary Ann",Horn,Programmer,32,37575
Donald,Crank,Programmer,39,31005
Linda,Josh,Fresher,47,34005
Sarah,Michael,Fresher,56,32005
Kevin,Long,Programmer,50,33005
Conrad,Tamahori,"Software Engineer",29,31505
Isabela,Moore,Programmer,30,32505
