first_name,last_name,title,age,salary
John,Smith,Programmer,54,27000
Lisa,Hammer,Programmer,23,20000
John,Fanning,Programmer,28,35000
Lisa,Moore,Programmer,27,35000
John,Vaughan,Programmer,25,27000
Lisa,Logan,Programmer,23,20000
Lisa,Merci,Programmer,27,35000
John,Whitaker,Programmer,25,32000
Leroy,Brooks,"General Manager",55,40099
Kevin,Long,Programmer,45,33000
Kelly,Brooks,Programmer,27,22000
Shawn,Tait,Fresher,20,25000
Kevin,Peitersen,Programmer,40,32300
Leroy,Miles,"General Manager",54,30000
Leroy,Garten,Programmer,55,40099
Linda,Hamilton,Fresher,35,25000
Sarah,Karan,Fresher,15,25000
Linda,Hamser,Fresher,42,34000
Sarah,Bones,Fresher,51,32000
Kelly,Shield,Programmer,25,19000
Shawn,Bichel,Fresher,26,22000
Kevin,Luther,Programmer,45,33000
Kelly,Alba,Programmer,27,22000
Shawn,Sons,Fresher,20,25000
Leroy,Kings,"General Manager",54,30000
Linda,Scott,Fresher,35,25000
Sarah,Jones,Fresher,15,25000
Kevin,Reese,"Software Engineer",40,32300
Kelly,Rise,Programmer,25,19000
Shawn,Bell,Fresher,26,22000
Linda,Josh,Fresher,42,34000
Sarah,Michael,Fresher,51,32000
Ginger,Finger,Fresher,22,31500
Conrad,Marss,Fresher,24,31500
Conrad,Turtle,"Software Engineer",40,25000
Donald,Bang,Fresher,34,31000
Ginger,Gold,Fresher,10,22000
Ginger,Gran,Fresher,10,22000
Conrad,Whales,"Software Engineer",20,32300
Donald,Crank,Programmer,34,31000
Donald,Bus,Programmer,35,19300
Donald,Duck,Programmer,35,19300
Ginger,Brown,"Software Engineer",20,25000
Conrad,Tamahori,"Software Engineer",24,31500
Anthony,Groove,"Software Engineer",47,23000
Anthony,Bravo,Programmer,26,19500
Isabela,Tauton,Programmer,25,32500
Michael,Mitchell,Fresher,21,25000
Michael,Moore,Fresher,24,21000
Anthony,Tamahori,Programmer,84,23000
Anthony,Hopkins,Programmer,26,19500
Michael,Tolstoy,Fresher,21,25000
Isabela,Karan,Programmer,38,30260
Michael,Stone,Fresher,24,21000
Isabela,Apple,Programmer,38,30260
Isabela,Moore,Programmer,25,32500
"Mary Ann",Dolce,Programmer,32,32513
"Mary Ann",Horn,Programmer,27,37570
"Mary Ann",Moore,"Software Engineer",32,32513
"Mary Ann",Vista,Programmer,27,37570
