first_name,last_name,title,age,salary
Leroy,Brooks,"General Manager",55,40099
Lisa,Moore,Programmer,27,35000
Kelly,Brooks,Programmer,27,22000
Michael,Tolstoy,Fresher,21,25000
Anthony,Hopkins,Programmer,26,19500
"Mary Ann",Moore,"Software Engineer",32,32513
Linda,Hamilton,Fresher,35,25000
Lisa,Logan,Programmer,23,20000
Michael,Stone,Fresher,24,21000
Anthony,Groove,"Software Engineer",47,23000
Sarah,Bones,Fresher,51,32000
Isabela,Tauton,Programmer,25,32500
Ginger,Brown,"Software Engineer",20,25000
Shawn,Sons,Fresher,20,25000
Anthony,Bravo,Programmer,26,19500
"Mary Ann",Dolce,Programmer,32,32513
Linda,Scott,Fresher,35,25000
Sarah,Jones,Fresher,15,25000
Ginger,Gold,Fresher,10,22000
Michael,Moore,Fresher,24,21000
Anthony,Tamahori,Programmer,84,23000
"Mary Ann",Horn,Programmer,27,37570
Linda,Josh,Fresher,42,34000
Kevin,Long,Programmer,45,33000
Conrad,Tamahori,"Software Engineer",24,31500
Isabela,Moore,Programmer,25,32500
