first_name,last_name,title,age,salary
John,Smith,Programmer,54,27000
Leroy,Brooks,"General Manager",55,40099
Leroy,Miles,"General Manager",54,30000
Donald,Duck,Programmer,35,19300
Linda,Hamilton,Fresher,35,25000
Kevin,Peitersen,Programmer,40,32300
Isabela,Karan,Programmer,38,30260
Anthony,Groove,"Software Engineer",47,23000
Linda,Hamser,Fresher,42,34000
Sarah,Bones,Fresher,51,32000
Kevin,Luther,Programmer,45,33000
Leroy,Garten,Programmer,55,40099
Leroy,Kings,"General Manager",54,30000
Donald,Bus,Programmer,35,19300
Linda,Scott,Fresher,35,25000
Kevin,Reese,"Software Engineer",40,32300
Conrad,Turtle,"Software Engineer",40,25000
Isabela,Apple,Programmer,38,30260
Anthony,Tamahori,Programmer,84,23000
Linda,Josh,Fresher,42,34000
Sarah,Michael,Fresher,51,32000
Kevin,Long,Programmer,45,33000
