first_name,last_name,title,age,salary
"Mary Ann",Horn,Programmer,27,37570
"Mary Ann",Vista,Programmer,27,37570
John,Fanning,Programmer,28,35000
Lisa,Moore,Programmer,27,35000
Lisa,Merci,Programmer,27,35000
"Mary Ann",Moore,"Software Engineer",32,32513
"Mary Ann",Dolce,Programmer,32,32513
Isabela,Moore,Programmer,25,32500
Isabela,Tauton,Programmer,25,32500
Conrad,Whales,"Software Engineer",20,32300
John,Whitaker,Programmer,25,32000
Ginger,Finger,Fresher,22,31500
Conrad,Marss,Fresher,24,31500
Conrad,Tamahori,"Software Engineer",24,31500
Donald,Bang,Fresher,34,31000
Donald,Crank,Programmer,34,31000
John,Vaughan,Programmer,25,27000
Shawn,Tait,Fresher,20,25000
Michael,Tolstoy,Fresher,21,25000
Sarah,Karan,Fresher,15,25000
Ginger,Brown,"Software Engineer",20,25000
Shawn,Sons,Fresher,20,25000
Michael,Mitchell,Fresher,21,25000
Sarah,Jones,Fresher,15,25000
Kelly,Brooks,Programmer,27,22000
Ginger,Gran,Fresher,10,22000
Shawn,Bichel,Fresher,26,22000
Kelly,Alba,Programmer,27,22000
Ginger,Gold,Fresher,10,22000
Shawn,Bell,Fresher,26,22000
Michael,Moore,Fresher,24,21000
Michael,Stone,Fresher,24,21000
Lisa,Logan,Programmer,23,20000
Lisa,Hammer,Programmer,23,20000
Anthony,Hopkins,Programmer,26,19500
Anthony,Bravo,Programmer,26,19500
Kelly,Shield,Programmer,25,19000
Kelly,Rise,Programmer,25,19000
