first_name,last_name,title,age,salary
Kelly,Rise,Programmer,25,19000
Kelly,Shield,Programmer,25,19000
Donald,Duck,Programmer,35,19300
Donald,Bus,Programmer,35,19300
Anthony,Bravo,Programmer,26,19500
Anthony,Hopkins,Programmer,26,19500
Lisa,Hammer,Programmer,23,20000
Lisa,Logan,Programmer,23,20000
Michael,Moore,Fresher,24,21000
Michael,Stone,Fresher,24,21000
Kelly,Alba,Programmer,27,22000
Kelly,Brooks,Programmer,27,22000
Shawn,Bell,Fresher,26,22000
Shawn,Bichel,Fresher,26,22000
Anthony,Tamahori,Programmer,84,23000
Anthony,Groove,"Software Engineer",47,23000
Michael,Tolstoy,Fresher,21,25000
Shawn,Sons,Fresher,20,25000
Shawn,Tait,Fresher,20,25000
Ginger,Brown,"Software Engineer",20,25000
Linda,Hamilton,Fresher,35,25000
Conrad,Turtle,"Software Engineer",40,25000
Michael,Mitchell,Fresher,21,25000
Linda,Scott,Fresher,35,25000
John,Vaughan,Programmer,25,27000
John,Smith,Programmer,54,27000
Leroy,Kings,"General Manager",54,30000
Leroy,Miles,"General Manager",54,30000
Isabela,Karan,Programmer,38,30260
Isabela,Apple,Programmer,38,30260
Donald,Bang,Fresher,34,31000
Donald,Crank,Programmer,34,31000
Conrad,Marss,Fresher,24,31500
Ginger,Finger,Fresher,22,31500
Conrad,Tamahori,"Software Engineer",24,31500
John,Whitaker,Programmer,25,32000
Sarah,Bones,Fresher,51,32000
Sarah,Michael,Fresher,51,32000
Conrad,Whales,"Software Engineer",20,32300
Kevin,Peitersen,Programmer,40,32300
Kevin,Reese,"Software Engineer",40,32300
Isabela,Tauton,Programmer,25,32500
Isabela,Moore,Programmer,25,32500
"Mary Ann",Dolce,Programmer,32,32513
"Mary Ann",Moore,"Software Engineer",32,32513
Kevin,Luther,Programmer,45,33000
Kevin,Long,Programmer,45,33000
Linda,Hamser,Fresher,42,34000
Linda,Josh,Fresher,42,34000
John,Fanning,Programmer,28,35000
Lisa,Moore,Programmer,27,35000
Lisa,Merci,Programmer,27,35000
"Mary Ann",Vista,Programmer,27,37570
"Mary Ann",Horn,Programmer,27,37570
Leroy,Brooks,"General Manager",55,40099
Leroy,Garten,Programmer,55,40099
