first_name,last_name,title,age,salary
John,Fanning,Programmer,28,35000
Lisa,Moore,Programmer,27,35000
Ginger,Finger,Fresher,22,31500
Kelly,Brooks,Programmer,27,22000
Shawn,Tait,Fresher,20,25000
Michael,Tolstoy,Fresher,21,25000
"Mary Ann",Moore,"Software Engineer",32,32513
Linda,Hamilton,Fresher,35,25000
Sarah,Karan,Fresher,15,25000
Kevin,Peitersen,Programmer,40,32300
Conrad,Whales,"Software Engineer",20,32300
Isabela,Karan,Programmer,38,30260
Ginger,Gran,Fresher,10,22000
Shawn,Bichel,Fresher,26,22000
Anthony,Groove,"Software Engineer",47,23000
"Mary Ann",Vista,Programmer,27,37570
Donald,Bang,Fresher,34,31000
Linda,Hamser,Fresher,42,34000
Kevin,Luther,Programmer,45,33000
Conrad,Marss,Fresher,24,31500
Isabela,Tauton,Programmer,25,32500
John,Vaughan,Programmer,25,27000
John,Whitaker,Programmer,25,32000
Lisa,Merci,Programmer,27,35000
Ginger,Brown,"Software Engineer",20,25000
Kelly,Alba,Programmer,27,22000
Shawn,Sons,Fresher,20,25000
Michael,Mitchell,Fresher,21,25000
"Mary Ann",Dolce,Programmer,32,32513
Linda,Scott,Fresher,35,25000
Sarah,Jones,Fresher,15,25000
Kevin,Reese,"Software Engineer",40,32300
Conrad,Turtle,"Software Engineer",40,25000
Isabela,Apple,Programmer,38,30260
Ginger,Gold,Fresher,10,22000
Shawn,Bell,Fresher,26,22000
"Mary Ann",Horn,Programmer,27,37570
Donald,Crank,Programmer,34,31000
Linda,Josh,Fresher,42,34000
Kevin,Long,Programmer,45,33000
Conrad,Tamahori,"Software Engineer",24,31500
Isabela,Moore,Programmer,25,32500
