first_name,last_name,title,age,salary
Ginger,Gran,Fresher,10,22000
Ginger,Gold,Fresher,10,22000
Sarah,Jones,Fresher,15,25000
Sarah,Karan,Fresher,15,25000
Shawn,Tait,Fresher,20,25000
Shawn,Sons,Fresher,20,25000
Conrad,Whales,"Software Engineer",20,32300
Ginger,Brown,"Software Engineer",20,25000
Michael,Tolstoy,Fresher,21,25000
Michael,Mitchell,Fresher,21,25000
Ginger,Finger,Fresher,22,31500
Lisa,Logan,Programmer,23,20000
Lisa,Hammer,Programmer,23,20000
Michael,Stone,Fresher,24,21000
Conrad,Tamahori,"Software Engineer",24,31500
Michael,Moore,Fresher,24,21000
Conrad,Marss,Fresher,24,31500
Isabela,Tauton,Programmer,25,32500
Isabela,Moore,Programmer,25,32500
Kelly,Rise,Programmer,25,19000
John,Vaughan,Programmer,25,27000
Kelly,Shield,Programmer,25,19000
John,Whitaker,Programmer,25,32000
Anthony,Bravo,Programmer,26,19500
Shawn,Bichel,Fresher,26,22000
Shawn,Bell,Fresher,26,22000
Anthony,Hopkins,Programmer,26,19500
Lisa,Moore,Programmer,27,35000
Lisa,Merci,Programmer,27,35000
Kelly,Alba,Programmer,27,22000
"Mary Ann",Vista,Programmer,27,37570
Kelly,Brooks,Programmer,27,22000
"Mary Ann",Horn,Programmer,27,37570
John,Fanning,Programmer,28,35000
"Mary Ann",Dolce,Programmer,32,32513
"Mary Ann",Moore,"Software Engineer",32,32513
Donald,Bang,Fresher,34,31000
Donald,Crank,Programmer,34,31000
Linda,Hamilton,Fresher,35,25000
Donald,Bus,Programmer,35,19300
Linda,Scott,Fresher,35,25000
Donald,Duck,Programmer,35,19300
Isabela,Apple,Programmer,38,30260
Isabela,Karan,Programmer,38,30260
Kevin,Reese,"Software Engineer",40,32300
Kevin,Peitersen,Programmer,40,32300
Conrad,Turtle,"Software Engineer",40,25000
Linda,Hamser,Fresher,42,34000
Linda,Josh,Fresher,42,34000
Kevin,Luther,Programmer,45,33000
Kevin,Long,Programmer,45,33000
Anthony,Groove,"Software Engineer",47,23000
Sarah,Bones,Fresher,51,32000
Sarah,Michael,Fresher,51,32000
Leroy,Kings,"General Manager",54,30000
John,Smith,Programmer,54,27000
Leroy,Miles,"General Manager",54,30000
Leroy,Brooks,"General Manager",55,40099
Leroy,Garten,Programmer,55,40099
Anthony,Tamahori,Programmer,84,23000
